Farine;Sucre;Beurre;Vanille;Cassonade;Oeuf;Levure;Lait;Sel;Chocolat;Temperature;Duree_cuisson;Ordre;Note
0.305810398;0.173292559;0.173292559;0.020387360;0.000000000;0.108053007;0.010193680;0.000000000;0.005096840;0.203873598;180.000000000;8.000000000;beurre sucre oeuf farine levure sel chocolat;0.84
0.278260870;0.173913043;0.173913043;0.017391304;0.000000000;0.092173913;0.003478261;0.000000000;0.000000000;0.260869565;180.000000000;10.000000000;beurre sucre oeuf farine levure chocolat;0.86
0.276555625;0.251414205;0.144563168;0.000000000;0.000000000;0.066624764;0.006285355;0.000000000;0.003142678;0.251414205;140.000000000;15.000000000;beurre sucre oeuf farine levure sel chocolat;0.9
0.278330020;0.178926441;0.178926441;0.019880716;0.000000000;0.105367793;0.009940358;0.000000000;0.009940358;0.218687873;180.000000000;15.000000000;beurre sucre oeuf farine levure sel chocolat;0.82
0.304259635;0.172413793;0.172413793;0.020283976;0.000000000;0.107505071;0.010141988;0.000000000;0.010141988;0.202839757;180.000000000;10.000000000;beurre sucre oeuf farine levure sel chocolat;0.86
0.391644909;0.000000000;0.195822454;0.000000000;0.261096606;0.138381201;0.013054830;0.000000000;0.000000000;0.261096606;180.000000000;12.000000000;beurre sucre oeuf farine levure chocolat;0.94
0.268817204;0.224014337;0.143369176;0.035842294;0.000000000;0.094982079;0.000000000;0.053763441;0.000000000;0.179211470;180.000000000;10.000000000;beurre sucre oeuf farine lait chocolat;0.92
0.304259635;0.172413793;0.172413793;0.020283976;0.000000000;0.107505071;0.010141988;0.000000000;0.010141988;0.202839757;180.000000000;10.000000000;beurre sucre oeuf farine levure sel chocolat;0.92
0.428816467;0.137221269;0.171526587;0.000000000;0.000000000;0.090909091;0.017152659;0.000000000;0.000000000;0.154373928;200.000000000;10.000000000;farine sucre levure oeuf beurre chocolat;0.92
0.418410042;0.209205021;0.156903766;0.000000000;0.000000000;0.110878661;0.005230126;0.000000000;0.005230126;0.094142259;220.000000000;10.000000000;oeuf sucre sel beurre farine levure;1.0
0.233100233;0.233100233;0.233100233;0.000000000;0.000000000;0.061771562;0.000000000;0.000000000;0.005827506;0.233100233;190.000000000;8.000000000;beurre sucre farine sel oeuf chocolat;0.52
0.352369380;0.121506683;0.206561361;0.000000000;0.182260024;0.064398542;0.006075334;0.000000000;0.006075334;0.243013366;180.000000000;8.000000000;farine levure beurre sucre oeuf chocolat;0.86
0.430950049;0.097943193;0.244857982;0.000000000;0.097943193;0.103819785;0.004897160;0.000000000;0.000000000;0.117531832;200.000000000;5.000000000;beurre oeuf farine levure sucre chocolat;0.96
